id,abbr,VertexX,VertexY
0,AL,436,317
0,AL,434,308
0,AL,432,294
0,AL,432,285
0,AL,434,263
0,AL,432,252
0,AL,434,247
0,AL,463,245
0,AL,463,246
0,AL,463,247
0,AL,465,251
0,AL,467,256
0,AL,468,263
0,AL,469,267
0,AL,470,270
0,AL,472,275
0,AL,473,279
0,AL,475,282
0,AL,475,284
0,AL,476,284
0,AL,476,285
0,AL,475,289
0,AL,475,292
0,AL,475,292
0,AL,475,296
0,AL,476,299
0,AL,475,301
0,AL,476,301
0,AL,477,302
0,AL,477,305
0,AL,474,305
0,AL,468,305
0,AL,451,306
0,AL,444,308
0,AL,444,309
0,AL,445,311
0,AL,446,312
0,AL,447,317
0,AL,443,320
0,AL,442,320
0,AL,443,319
0,AL,443,317
0,AL,440,313
0,AL,439,313
0,AL,438,315
0,AL,437,317
0,AL,437,317
0,AL,436,317
1,AK,109,313
1,AK,108,371
1,AK,109,373
1,AK,112,373
1,AK,113,371
1,AK,115,371
1,AK,115,374
1,AK,120,378
1,AK,120,381
1,AK,122,378
1,AK,123,378
1,AK,123,377
1,AK,123,375
1,AK,125,375
1,AK,125,374
1,AK,129,376
1,AK,129,377
1,AK,130,378
1,AK,130,381
1,AK,133,382
1,AK,136,385
1,AK,137,389
1,AK,139,390
1,AK,140,392
1,AK,144,394
1,AK,147,396
1,AK,147,398
1,AK,148,400
1,AK,147,403
1,AK,146,405
1,AK,145,404
1,AK,144,401
1,AK,143,401
1,AK,140,400
1,AK,140,400
1,AK,141,403
1,AK,141,405
1,AK,140,405
1,AK,139,404
1,AK,138,403
1,AK,138,405
1,AK,139,406
1,AK,139,406
1,AK,139,406
1,AK,138,406
1,AK,138,405
1,AK,137,405
1,AK,137,403
1,AK,137,403
1,AK,136,401
1,AK,136,401
1,AK,136,403
1,AK,136,403
1,AK,135,401
1,AK,133,401
1,AK,133,401
1,AK,136,399
1,AK,135,399
1,AK,135,396
1,AK,133,396
1,AK,133,398
1,AK,132,398
1,AK,132,396
1,AK,131,392
1,AK,130,392
1,AK,131,396
1,AK,131,398
1,AK,130,396
1,AK,128,392
1,AK,127,392
1,AK,125,389
1,AK,124,388
1,AK,123,386
1,AK,123,385
1,AK,125,384
1,AK,124,384
1,AK,123,384
1,AK,120,382
1,AK,118,381
1,AK,115,378
1,AK,113,377
1,AK,113,375
1,AK,113,374
1,AK,112,375
1,AK,110,375
1,AK,108,375
1,AK,104,374
1,AK,100,374
1,AK,99,374
1,AK,95,370
1,AK,93,370
1,AK,92,367
1,AK,89,367
1,AK,87,368
1,AK,87,370
1,AK,87,368
1,AK,89,369
1,AK,87,371
1,AK,90,370
1,AK,91,371
1,AK,87,374
1,AK,86,374
1,AK,86,373
1,AK,85,371
1,AK,84,373
1,AK,83,371
1,AK,81,374
1,AK,79,375
1,AK,77,376
1,AK,74,376
1,AK,74,375
1,AK,76,374
1,AK,76,374
1,AK,75,373
1,AK,75,371
1,AK,77,368
1,AK,77,367
1,AK,77,367
1,AK,79,365
1,AK,81,366
1,AK,82,366
1,AK,82,365
1,AK,78,363
1,AK,75,366
1,AK,74,368
1,AK,72,370
1,AK,71,371
1,AK,69,373
1,AK,67,374
1,AK,67,375
1,AK,68,376
1,AK,68,377
1,AK,67,380
1,AK,62,383
1,AK,56,385
1,AK,55,386
1,AK,52,388
1,AK,47,389
1,AK,49,390
1,AK,48,391
1,AK,47,391
1,AK,46,391
1,AK,44,391
1,AK,44,392
1,AK,43,392
1,AK,43,391
1,AK,40,391
1,AK,38,392
1,AK,36,391
1,AK,33,392
1,AK,32,392
1,AK,30,393
1,AK,29,394
1,AK,28,394
1,AK,25,393
1,AK,24,393
1,AK,23,394
1,AK,23,393
1,AK,23,392
1,AK,25,391
1,AK,29,392
1,AK,32,391
1,AK,33,389
1,AK,36,389
1,AK,37,388
1,AK,39,389
1,AK,40,389
1,AK,40,389
1,AK,43,388
1,AK,44,386
1,AK,46,385
1,AK,47,385
1,AK,47,385
1,AK,48,385
1,AK,49,384
1,AK,52,382
1,AK,53,380
1,AK,54,377
1,AK,56,376
1,AK,56,374
1,AK,55,375
1,AK,53,375
1,AK,53,374
1,AK,51,374
1,AK,51,374
1,AK,51,376
1,AK,49,376
1,AK,48,371
1,AK,47,373
1,AK,47,373
1,AK,47,371
1,AK,44,371
1,AK,43,371
1,AK,40,371
1,AK,41,370
1,AK,43,369
1,AK,41,368
1,AK,43,367
1,AK,44,367
1,AK,43,366
1,AK,43,363
1,AK,43,362
1,AK,43,363
1,AK,37,363
1,AK,37,362
1,AK,36,360
1,AK,35,357
1,AK,35,357
1,AK,36,357
1,AK,36,354
1,AK,37,353
1,AK,37,353
1,AK,36,353
1,AK,35,352
1,AK,36,348
1,AK,39,346
1,AK,40,345
1,AK,41,343
1,AK,44,342
1,AK,46,343
1,AK,46,344
1,AK,47,344
1,AK,49,343
1,AK,51,343
1,AK,51,343
1,AK,53,343
1,AK,54,343
1,AK,54,339
1,AK,54,339
1,AK,54,337
1,AK,55,337
1,AK,56,336
1,AK,56,336
1,AK,56,336
1,AK,55,335
1,AK,53,336
1,AK,51,336
1,AK,49,336
1,AK,47,334
1,AK,44,334
1,AK,41,331
1,AK,41,329
1,AK,43,327
1,AK,40,325
1,AK,39,323
1,AK,40,323
1,AK,44,322
1,AK,46,322
1,AK,46,323
1,AK,47,323
1,AK,47,322
1,AK,49,322
1,AK,51,322
1,AK,53,322
1,AK,51,324
1,AK,51,325
1,AK,53,327
1,AK,56,327
