id,abbr,VertexX,VertexY
1,AK,119,530
1,AK,118,528
1,AK,114,527
1,AK,109,530
1,AK,107,534
1,AK,105,536
1,AK,104,538
1,AK,100,540
1,AK,96,542
1,AK,96,544
1,AK,98,545
1,AK,99,547
1,AK,96,550
1,AK,90,555
1,AK,82,559
1,AK,80,560
1,AK,75,561
1,AK,69,563
1,AK,71,565
1,AK,70,566
1,AK,69,567
1,AK,67,566
1,AK,63,566
1,AK,63,569
1,AK,62,569
1,AK,62,566
1,AK,58,567
1,AK,55,568
1,AK,52,567
1,AK,49,569
1,AK,46,569
1,AK,44,570
1,AK,42,571
1,AK,40,571
1,AK,37,570
1,AK,35,570
1,AK,34,571
1,AK,33,570
1,AK,33,568
1,AK,36,567
1,AK,42,568
1,AK,46,566
1,AK,48,564
1,AK,51,563
1,AK,53,562
1,AK,56,563
1,AK,58,564
1,AK,58,564
1,AK,61,561
1,AK,64,560
1,AK,67,559
1,AK,69,559
1,AK,69,559
1,AK,70,559
1,AK,71,556
1,AK,75,554
1,AK,77,550
1,AK,79,546
1,AK,81,545
1,AK,81,542
1,AK,80,543
1,AK,76,544
1,AK,76,541
1,AK,74,541
1,AK,74,542
1,AK,73,545
1,AK,72,545
1,AK,70,539
1,AK,69,540
1,AK,68,540
1,AK,68,538
1,AK,64,538
1,AK,62,539
1,AK,59,539
1,AK,60,537
1,AK,61,535
1,AK,60,533
1,AK,62,532
1,AK,63,532
1,AK,62,530
1,AK,62,526
1,AK,61,525
1,AK,61,526
1,AK,54,526
1,AK,53,525
1,AK,52,521
1,AK,50,517
1,AK,50,516
1,AK,52,516
1,AK,52,513
1,AK,54,512
1,AK,53,512
1,AK,52,512
1,AK,50,510
1,AK,51,505
1,AK,56,501
1,AK,58,500
1,AK,60,496
1,AK,63,495
1,AK,66,496
1,AK,66,498
1,AK,69,498
1,AK,72,496
1,AK,73,496
1,AK,74,497
1,AK,76,497
1,AK,78,496
1,AK,79,491
1,AK,79,491
1,AK,79,488
1,AK,80,488
1,AK,81,487
1,AK,81,487
1,AK,81,487
1,AK,80,485
1,AK,77,486
1,AK,74,486
1,AK,72,486
1,AK,69,484
1,AK,63,484
1,AK,60,480
1,AK,60,476
1,AK,61,474
1,AK,59,472
1,AK,57,469
1,AK,58,468
1,AK,64,467
1,AK,66,467
1,AK,67,468
1,AK,68,468
1,AK,68,467
1,AK,72,466
1,AK,74,466
1,AK,76,467
1,AK,74,470
1,AK,74,471
1,AK,77,473
1,AK,82,474
1,AK,83,473
1,AK,81,469
1,AK,80,466
1,AK,81,465
1,AK,78,463
1,AK,77,462
1,AK,78,460
1,AK,77,456
1,AK,74,452
1,AK,72,448
1,AK,74,446
1,AK,78,446
1,AK,79,446
1,AK,84,446
1,AK,87,443
1,AK,89,439
1,AK,92,437
1,AK,94,438
1,AK,97,437
1,AK,100,435
1,AK,101,435
1,AK,102,436
1,AK,107,436
1,AK,110,433
1,AK,111,433
1,AK,114,435
1,AK,116,437
1,AK,116,438
1,AK,117,439
1,AK,118,438
1,AK,122,438
1,AK,122,442
1,AK,124,443
1,AK,131,444
1,AK,138,448
1,AK,139,447
1,AK,144,450
1,AK,146,449
1,AK,148,448
1,AK,153,450
1,AK,158,453
2,AZ,144,382
2,AZ,142,384
2,AZ,141,386
2,AZ,142,387
2,AZ,161,397
2,AZ,173,405
2,AZ,188,414
2,AZ,205,424
2,AZ,217,426
2,AZ,242,429
2,AZ,259,310
2,AZ,175,298
2,AZ,172,314
2,AZ,171,314
2,AZ,169,317
2,AZ,166,317
2,AZ,165,314
2,AZ,162,314
2,AZ,161,312
2,AZ,161,312
2,AZ,160,313
2,AZ,158,314
2,AZ,158,321
2,AZ,157,323
2,AZ,157,335
2,AZ,155,337
2,AZ,155,341
2,AZ,157,346
2,AZ,159,351
2,AZ,159,352
2,AZ,161,353
2,AZ,160,355
2,AZ,159,357
2,AZ,155,358
2,AZ,153,360
2,AZ,152,364
2,AZ,151,369
2,AZ,149,372
2,AZ,146,372
2,AZ,147,373
2,AZ,146,375
2,AZ,147,376
2,AZ,150,376
2,AZ,150,379
2,AZ,148,381
2,AZ,144,382
3,AR,593,343
3,AR,589,343
3,AR,584,343
3,AR,585,341
3,AR,588,338
3,AR,589,335
3,AR,587,332
3,AR,508,334
3,AR,510,341
3,AR,510,349
3,AR,511,360
3,AR,512,398
3,AR,514,400
3,AR,517,399
3,AR,520,400
3,AR,520,407
3,AR,576,405
3,AR,577,403
3,AR,577,400
3,AR,575,397
3,AR,576,395
3,AR,575,393
3,AR,576,390
3,AR,577,385
3,AR,579,383
3,AR,579,380
3,AR,582,375
3,AR,585,374
3,AR,585,372
3,AR,585,370
3,AR,588,365
3,AR,590,363
3,AR,590,360
3,AR,592,359
3,AR,589,358
3,AR,588,354
3,AR,590,352
3,AR,591,350
3,AR,592,346
3,AR,593,343
4,CA,144,382
4,CA,148,381
4,CA,150,379
4,CA,150,376
4,CA,147,376
4,CA,146,375
4,CA,147,373
4,CA,146,372
4,CA,148,372
4,CA,151,369
4,CA,152,364
4,CA,153,361
4,CA,155,358
4,CA,159,357
4,CA,160,355
4,CA,161,353
4,CA,160,352
4,CA,159,351
4,CA,157,346
4,CA,155,341
4,CA,155,337
4,CA,153,336
4,CA,84,232
4,CA,103,164
4,CA,36,149
4,CA,34,153
4,CA,34,161
4,CA,29,173
4,CA,26,175
4,CA,25,176
4,CA,24,177
4,CA,22,181
4,CA,21,185
4,CA,24,189
4,CA,26,193
4,CA,27,197
4,CA,26,203
