id,postal_code,top_category,raw_visitor_counts_mean,raw_visitor_counts_sum,raw_visitor_counts_median,placekey,est_year,zip_pop,raw_visitor_counts_mean_norm,raw_visitor_counts_sum_norm,raw_visitor_counts_median_norm,date,zipcode_ID
0,92101,Restaurants and Other Eating Places,47.79625292740047,20409,34.0,554,2019,60083,0.0007955037685768099,0.3396801091822978,0.0005658838606594211,2021-01-01,1
1,92101,Restaurants and Other Eating Places,74.625,31641,51.0,554,2019,60083,0.0012420318559326266,0.5266215069154336,0.0008488257909891317,2021-02-01,1
2,92101,Restaurants and Other Eating Places,104.23239436619718,44403,67.0,554,2019,60083,0.00173480675675644,0.7390276783782435,0.0011151240783582714,2021-03-01,1
3,92101,Restaurants and Other Eating Places,117.93208430913349,50357,79.0,554,2019,60083,0.0019628195048372,0.8381239285654845,0.0013148477938851257,2021-04-01,1
4,92101,Restaurants and Other Eating Places,136.69555035128806,58369,88.0,554,2019,60083,0.0022751119343456232,0.9714727959655808,0.0014646405805302663,2021-05-01,1
5,92101,Restaurants and Other Eating Places,165.53504672897196,70849,102.0,554,2019,60083,0.0027551062152184804,1.1791854601135097,0.0016976515819782634,2021-06-01,1
6,92101,Restaurants and Other Eating Places,193.5079365079365,85337,115.0,554,2019,60083,0.0032206770052749787,1.4203185593262653,0.0019140189404656886,2021-07-01,1
7,92101,Restaurants and Other Eating Places,157.35159817351598,68920,100.5,554,2019,60083,0.0026189038192752693,1.1470798728425675,0.0016726861175374065,2021-08-01,1
8,92101,Restaurants and Other Eating Places,131.5662100456621,57626,92.5,554,2019,60083,0.002189741025675517,0.9591065692458766,0.001539536973852837,2021-09-01,1
9,92102,Restaurants and Other Eating Places,46.99009900990099,4746,33.0,104,2019,42353,0.0011094869078908456,0.11205817769697543,0.0007791655844922437,2021-01-01,2
10,92102,Restaurants and Other Eating Places,48.77450980392157,4975,35.5,104,2019,42353,0.001151618770899855,0.11746511463178524,0.0008381932802871108,2021-02-01,2
11,92102,Restaurants and Other Eating Places,58.40594059405941,5899,38.0,104,2019,42353,0.0013790272375996838,0.13928175099756807,0.0008972209760819775,2021-03-01,2
12,92102,Restaurants and Other Eating Places,59.54,5954,40.0,104,2019,42353,0.001405803603050551,0.14058036030505516,0.0009444431327178713,2021-04-01,2
13,92102,Restaurants and Other Eating Places,64.97979797979798,6433,42.0,104,2019,42353,0.00153424309918537,0.15189006681935166,0.0009916652893537648,2021-05-01,2
14,92102,Restaurants and Other Eating Places,65.52475247524752,6618,44.0,104,2019,42353,0.0015471100624571464,0.1562581163081718,0.0010388874459896585,2021-06-01,2
15,92102,Restaurants and Other Eating Places,70.75728155339806,7288,43.0,104,2019,42353,0.0016706557163222926,0.17207753878119614,0.0010152763676717117,2021-07-01,2
16,92102,Restaurants and Other Eating Places,70.86138613861387,7157,47.0,104,2019,42353,0.0016731137378370804,0.1689844875215451,0.0011097206809434989,2021-08-01,2
17,92102,Restaurants and Other Eating Places,65.94174757281553,6792,46.0,104,2019,42353,0.0015569557663640244,0.16036644393549454,0.001086109602625552,2021-09-01,2
18,92103,Restaurants and Other Eating Places,46.9039548022599,8302,31.0,187,2019,39630,0.001183546676817055,0.2094877617966187,0.0007822356800403737,2021-01-01,3
19,92103,Restaurants and Other Eating Places,55.96089385474861,10017,39.0,187,2019,39630,0.00141208412452053,0.2527630582891749,0.000984102952308857,2021-02-01,3
20,92103,Restaurants and Other Eating Places,69.39106145251397,12421,51.0,187,2019,39630,0.001750973036904213,0.3134241736058542,0.0012869038607115821,2021-03-01,3
21,92103,Restaurants and Other Eating Places,72.2290502793296,12929,51.0,187,2019,39630,0.0018225851698039266,0.32624274539490283,0.0012869038607115821,2021-04-01,3
22,92103,Restaurants and Other Eating Places,82.01117318435755,14680,61.0,187,2019,39630,0.002069421478283057,0.3704264446126672,0.0015392379510471865,2021-05-01,3
23,92103,Restaurants and Other Eating Places,83.26404494382022,14821,65.0,187,2019,39630,0.0021010357038561754,0.3739843552863992,0.0016401715871814284,2021-06-01,3
24,92103,Restaurants and Other Eating Places,94.07821229050279,16840,67.0,187,2019,39630,0.002373914011872389,0.4249306081251577,0.001690638405248549,2021-07-01,3
25,92103,Restaurants and Other Eating Places,84.84530386740332,15357,55.0,187,2019,39630,0.0021409362570629148,0.3875094625283876,0.001387837496845824,2021-08-01,3
26,92103,Restaurants and Other Eating Places,77.71111111111111,13988,53.5,187,2019,39630,0.00196091625311913,0.3529649255614434,0.0013499873832954832,2021-09-01,3
27,92104,Restaurants and Other Eating Places,48.92941176470589,8318,30.5,175,2019,52091,0.0009393064399743886,0.15968209479564607,0.0005855138123668196,2021-01-01,4
28,92104,Restaurants and Other Eating Places,55.70588235294117,9470,40.0,175,2019,52091,0.0010693955261550203,0.1817972394463535,0.000767886967038452,2021-02-01,4
29,92104,Restaurants and Other Eating Places,67.84705882352941,11534,45.0,175,2019,52091,0.001302471805561986,0.22142020694553768,0.0008638728379182584,2021-03-01,4
30,92104,Restaurants and Other Eating Places,67.70588235294117,11510,48.0,175,2019,52091,0.0012997616162665562,0.22095947476531447,0.0009214643604461424,2021-04-01,4
31,92104,Restaurants and Other Eating Places,78.49411764705883,13344,54.0,175,2019,52091,0.0015068652482589859,0.2561670922040276,0.0010366474055019102,2021-05-01,4
32,92104,Restaurants and Other Eating Places,78.2764705882353,13307,52.0,175,2019,52091,0.0015026870397618648,0.255456796759517,0.0009982530571499876,2021-06-01,4
33,92104,Restaurants and Other Eating Places,84.15606936416185,14559,57.0,175,2019,52091,0.0016155587215480956,0.27949165882782057,0.001094238928029794,2021-07-01,4
34,92104,Restaurants and Other Eating Places,81.02312138728323,14017,57.0,175,2019,52091,0.0015554149735517314,0.2690867904244495,0.001094238928029794,2021-08-01,4
35,92104,Restaurants and Other Eating Places,79.41040462427745,13738,52.0,175,2019,52091,0.001524455368955817,0.2637307788293563,0.0009982530571499876,2021-09-01,4
36,92105,Restaurants and Other Eating Places,78.77173913043478,7247,47.5,93,2019,66859,0.0011781770461782974,0.10839228824840336,0.0007104503507381206,2021-01-01,5
37,92105,Restaurants and Other Eating Places,82.27173913043478,7569,51.5,93,2019,66859,0.00123052601939058,0.11320839378393335,0.0007702777486950147,2021-02-01,5
38,92105,Restaurants and Other Eating Places,96.46666666666668,8682,56.5,93,2019,66859,0.0014428374140604354,0.1298553672654392,0.0008450619961411327,2021-03-01,5
39,92105,Restaurants and Other Eating Places,99.989010989011,9099,57.0,93,2019,66859,0.001495520587938961,0.13609237350244546,0.0008525404208857446,2021-04-01,5
40,92105,Restaurants and Other Eating Places,108.56043956043956,9879,63.0,93,2019,66859,0.0016237221549894488,0.14775871610403984,0.0009422815178210859,2021-05-01,5
41,92105,Restaurants and Other Eating Places,105.5108695652174,9707,63.0,93,2019,66859,0.0015781101955640586,0.1451861379918934,0.0009422815178210859,2021-06-01,5
42,92105,Restaurants and Other Eating Places,111.82608695652172,10288,60.0,93,2019,66859,0.0016725659515775249,0.1538760675451323,0.0008974109693534154,2021-07-01,5
43,92105,Restaurants and Other Eating Places,115.21739130434784,10600,67.0,93,2019,66859,0.0017232891802801092,0.15854260458577005,0.0010021089157779806,2021-08-01,5
44,92105,Restaurants and Other Eating Places,115.72527472527472,10531,65.0,93,2019,66859,0.001730885516164985,0.1575105819710136,0.0009721952167995332,2021-09-01,5
45,92106,Restaurants and Other Eating Places,52.684684684684676,5848,30.0,121,2019,22316,0.0023608480321152844,0.26205413156479657,0.0013443269403118838,2021-01-01,6
46,92106,Restaurants and Other Eating Places,71.63302752293578,7808,49.0,121,2019,22316,0.003209940290506174,0.34988349166517296,0.00219573400250941,2021-02-01,6
47,92106,Restaurants and Other Eating Places,91.76785714285714,10278,58.0,121,2019,22316,0.0041122000870611715,0.4605664097508514,0.0025990320846029755,2021-03-01,6
48,92106,Restaurants and Other Eating Places,98.83185840707964,11168,66.0,121,2019,22316,0.004428744327257557,0.5004481089801041,0.0029575192686861445,2021-04-01,6
49,92106,Restaurants and Other Eating Places,117.21428571428572,13128,82.5,121,2019,22316,0.005252477402504289,0.5882774690804804,0.0036968990858576812,2021-05-01,6
